Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2021-08-09 18:42:49,CTSIUSDT,SELL,1.1080000000,27.5000000000CTSI,30.47000000USDT,0.0000642300BNB
2021-08-09 15:18:17,CTSIUSDT,SELL,0.6210000000,27.4000000000CTSI,17.01540000USDT,0.0000359500BNB
2021-08-08 13:24:48,SLPUSDT,BUY,0.1866000000,60.0000000000SLP,11.19600000USDT,0.0000236800BNB
2021-08-08 08:16:48,NBSUSDT,BUY,0.0137100000,750.0000000000NBS,10.28250000USDT,0.0000216300BNB
2021-08-08 08:14:55,MDTUSDT,BUY,0.0300000000,350.0000000000MDT,10.50000000USDT,0.0000220500BNB
2021-08-05 14:12:50,ETHUSDT,SELL,"2,790.0000000000",0.0050000000ETH,13.95000000USDT,0.0000317300BNB
2021-08-05 05:50:47,TRUUSDT,SELL,0.4300000000,136.6300000000TRU,58.75090000USDT,0.0001321300BNB
2021-08-04 12:05:13,MATICUSDT,BUY,1.0206600000,10.0000000000MATIC,10.20660000USDT,0.0000235700BNB
2021-08-01 04:05:27,ETHUSDT,SELL,"2,620.0000000000",0.0050000000ETH,13.10000000USDT,0.0000283200BNB
2021-07-26 14:11:21,ETHBUSD,SELL,"2,345.4900000000",0.0070000000ETH,16.41843000BUSD,0.0000386100BNB
2021-07-26 01:34:01,BAKEUSDT,SELL,2.1000000000,10.0000000000BAKE,21.00000000USDT,0.0000495000BNB
2021-07-20 07:49:43,BAKEUSDT,BUY,1.5398000000,10.0000000000BAKE,15.39800000USDT,0.0000433200BNB
2021-07-20 00:02:36,XLMBUSD,BUY,0.2100000000,77.0000000000XLM,16.17000000BUSD,0.0000000000BNB
2021-07-14 17:13:16,TLMBUSD,SELL,0.2015000000,70.0000000000TLM,14.10500000BUSD,0.0000000000BNB
2021-07-13 05:29:59,ZRXUSDT,BUY,0.7300000000,15.0000000000ZRX,10.95000000USDT,0.0000265300BNB
2021-07-11 04:11:18,EOSBUSD,BUY,3.8400000000,5.0000000000EOS,19.20000000BUSD,0.0000000000BNB
2021-07-09 21:25:46,EOSBUSD,SELL,4.2500000000,5.0000000000EOS,21.25000000BUSD,0.0000000000BNB
2021-07-09 17:52:25,ZRXUSDT,SELL,0.8642000000,15.0000000000ZRX,12.96300000USDT,0.0000309300BNB
2021-07-08 00:31:43,ZRXUSDT,BUY,0.7606000000,15.0000000000ZRX,11.40900000USDT,0.0000269500BNB
2021-07-07 18:25:43,ZRXUSDT,SELL,0.8150000000,15.0000000000ZRX,12.22500000USDT,0.0000272600BNB
2021-07-06 10:41:56,HOTUSDT,BUY,0.0059850000,"2,000.0000000000HOT",11.97000000USDT,0.0000291900BNB
2021-07-05 11:34:32,ETHBUSD,BUY,"2,210.0000000000",0.0075900000ETH,16.77390000BUSD,0.0000000000BNB
2021-07-05 04:58:14,ZRXUSDT,BUY,0.6999000000,15.0000000000ZRX,10.49850000USDT,0.0000263500BNB
2021-07-05 01:23:34,XRPUSDT,BUY,0.6866000000,15.0000000000XRP,10.29900000USDT,0.0000255600BNB
2021-07-04 22:49:19,XLMUSDT,BUY,0.2670000000,40.0000000000XLM,10.68000000USDT,0.0000258600BNB
2021-07-04 21:57:18,ETHBUSD,SELL,"2,388.0000000000",0.0070000000ETH,16.71600000BUSD,0.0000000000BNB
2021-07-04 08:38:33,IOTAUSDT,BUY,0.8292000000,13.0000000000IOTA,10.77960000USDT,0.0000264500BNB
